<NUMBER OF ZONES> 24											
<NUMBER OF NODES> 24											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 76											
<END OF METADATA>											


~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	;
	1	2	20000	6	6	0.15	4	0	0	1	;
	1	3	20000	4	4	0.15	4	0	0	1	;
	2	1	20000	6	6	0.15	4	0	0	1	;
	2	6	5000	5	5	0.15	4	0	0	1	;
	3	1	20000	4	4	0.15	4	0	0	1	;
	3	4	20000	4	4	0.15	4	0	0	1	;
	3	12	20000	4	4	0.15	4	0	0	1	;
	4	3	20000	4	4	0.15	4	0	0	1	;
	4	5	20000	2	2	0.15	4	0	0	1	;
	4	11	5000	6	6	0.15	4	0	0	1	;
	5	4	20000	2	2	0.15	4	0	0	1	;
	5	6	5000	4	4	0.15	4	0	0	1	;
	5	9	10000	5	5	0.15	4	0	0	1	;
	6	2	5000	5	5	0.15	4	0	0	1	;
	6	5	5000	4	4	0.15	4	0	0	1	;
	6	8	5000	2	2	0.15	4	0	0	1	;
	7	8	10000	3	3	0.15	4	0	0	1	;
	7	18	20000	2	2	0.15	4	0	0	1	;
	8	6	5000	2	2	0.15	4	0	0	1	;
	8	7	10000	3	3	0.15	4	0	0	1	;
	8	9	5000	10	10	0.15	4	0	0	1	;
	8	16	5000	5	5	0.15	4	0	0	1	;
	9	5	10000	5	5	0.15	4	0	0	1	;
	9	8	5000	10	10	0.15	4	0	0	1	;
	9	10	10000	3	3	0.15	4	0	0	1	;
	10	9	10000	3	3	0.15	4	0	0	1	;
	10	11	10000	5	5	0.15	4	0	0	1	;
	10	15	10000	6	6	0.15	4	0	0	1	;
	10	16	5000	4	4	0.15	4	0	0	1	;
	10	17	5000	8	8	0.15	4	0	0	1	;
	11	4	5000	6	6	0.15	4	0	0	1	;
	11	10	10000	5	5	0.15	4	0	0	1	;
	11	12	5000	6	6	0.15	4	0	0	1	;
	11	14	5000	4	4	0.15	4	0	0	1	;
	12	3	20000	4	4	0.15	4	0	0	1	;
	12	11	5000	6	6	0.15	4	0	0	1	;
	12	13	20000	3	3	0.15	4	0	0	1	;
	13	12	20000	3	3	0.15	4	0	0	1	;
	13	24	5000	4	4	0.15	4	0	0	1	;
	14	11	5000	4	4	0.15	4	0	0	1	;
	14	15	5000	5	5	0.15	4	0	0	1	;
	14	23	5000	4	4	0.15	4	0	0	1	;
	15	10	10000	6	6	0.15	4	0	0	1	;
	15	14	5000	5	5	0.15	4	0	0	1	;
	15	19	10000	3	3	0.15	4	0	0	1	;
	15	22	10000	3	3	0.15	4	0	0	1	;
	16	8	5000	5	5	0.15	4	0	0	1	;
	16	10	5000	4	4	0.15	4	0	0	1	;
	16	17	5000	2	2	0.15	4	0	0	1	;
	16	18	20000	3	3	0.15	4	0	0	1	;
	17	10	5000	8	8	0.15	4	0	0	1	;
	17	16	5000	2	2	0.15	4	0	0	1	;
	17	19	5000	2	2	0.15	4	0	0	1	;
	18	7	20000	2	2	0.15	4	0	0	1	;
	18	16	20000	3	3	0.15	4	0	0	1	;
	18	20	20000	4	4	0.15	4	0	0	1	;
	19	15	10000	3	3	0.15	4	0	0	1	;
	19	17	5000	2	2	0.15	4	0	0	1	;
	19	20	5000	4	4	0.15	4	0	0	1	;
	20	18	20000	4	4	0.15	4	0	0	1	;
	20	19	5000	4	4	0.15	4	0	0	1	;
	20	21	5000	6	6	0.15	4	0	0	1	;
	20	22	5000	5	5	0.15	4	0	0	1	;
	21	20	5000	6	6	0.15	4	0	0	1	;
	21	22	5000	2	2	0.15	4	0	0	1	;
	21	24	5000	3	3	0.15	4	0	0	1	;
	22	15	10000	3	3	0.15	4	0	0	1	;
	22	20	5000	5	5	0.15	4	0	0	1	;
	22	21	5000	2	2	0.15	4	0	0	1	;
	22	23	5000	4	4	0.15	4	0	0	1	;
	23	14	5000	4	4	0.15	4	0	0	1	;
	23	22	5000	4	4	0.15	4	0	0	1	;
	23	24	5000	2	2	0.15	4	0	0	1	;
	24	13	5000	4	4	0.15	4	0	0	1	;
	24	21	5000	3	3	0.15	4	0	0	1	;
	24	23	5000	2	2	0.15	4	0	0	1	;
