Type 	Number 	Time 	Objective function 	Average excess cost 	Lower bound 	Best Lower Bound 	Gap 	Relative Gap 	LS iterations 	Step size 	
Start FW 		0.041 	
FW Iteration 	0 	0.041 	107.84194533384763 	
FW Iteration 	1 	0.041 	107.84194533384763 	84.4501 	-196.68520323344248 	-196.685 	304.527 	1.5483 	2 	0.25 	
FW Iteration 	2 	0.041 	66.008208043261519 	21.538 	-11.657743171164071 	-11.6577 	77.666 	6.66218 	2 	0.25 	
FW Iteration 	3 	0.042 	56.282985141296237 	9.67835 	21.38284422419683 	21.3828 	34.9001 	1.63216 	3 	0.125 	
FW Iteration 	4 	0.042 	53.657412371063891 	5.60163 	33.457933635307214 	33.4579 	20.1995 	0.603728 	2 	0.25 	
FW Iteration 	5 	0.043 	50.346862323324245 	3.48237 	37.789449264972362 	37.7894 	12.5574 	0.332299 	3 	0.125 	
FW Iteration 	6 	0.043 	49.208671833933487 	2.52508 	40.103237318878854 	40.1032 	9.10543 	0.22705 	2 	0.25 	
FW Iteration 	7 	0.043 	47.49935918054166 	2.4067 	38.820810042031759 	40.1032 	8.67855 	0.184427 	3 	0.125 	
FW Iteration 	8 	0.043 	46.859693765335848 	1.79757 	40.377640111595738 	40.3776 	6.48205 	0.160536 	2 	0.25 	
FW Iteration 	9 	0.044 	45.768584688993322 	1.51141 	40.31843508243967 	40.3776 	5.45015 	0.133513 	3 	0.125 	
FW Iteration 	10 	0.044 	45.380623905948816 	1.23523 	40.926395309500165 	40.9264 	4.45423 	0.108835 	2 	0.25 	
FW Iteration 	11 	0.044 	44.777542748291644 	1.5226 	39.287051494372349 	40.9264 	5.49049 	0.0940994 	3 	0.125 	
FW Iteration 	12 	0.044 	44.395585019089552 	0.802967 	41.50008432271644 	41.5001 	2.8955 	0.069771 	2 	0.25 	
FW Iteration 	13 	0.044 	43.993077685000749 	1.16154 	39.804573548244356 	41.5001 	4.1885 	0.060072 	4 	0.0625 	
FW Iteration 	14 	0.044 	43.823292349790272 	0.642874 	41.505088421055163 	41.5051 	2.3182 	0.0558535 	3 	0.125 	
FW Iteration 	15 	0.044 	43.628716188488596 	0.550496 	41.643627314992443 	41.6436 	1.98509 	0.0476685 	4 	0.0625 	
FW Iteration 	16 	0.045 	43.545488061181238 	0.480279 	41.813603229024146 	41.8136 	1.73188 	0.0414192 	3 	0.125 	
FW Iteration 	17 	0.045 	43.391225548209846 	0.513851 	41.538278547377622 	41.8136 	1.85295 	0.0377299 	4 	0.0625 	
FW Iteration 	18 	0.045 	43.324545056167317 	0.383479 	41.941721117641478 	41.9417 	1.38282 	0.0329701 	2 	0.25 	
FW Iteration 	19 	0.045 	43.140859885599774 	0.796497 	40.26869025445545 	41.9417 	2.87217 	0.0285906 	4 	0.0625 	
FW Iteration 	20 	0.045 	43.026557530389439 	0.295407 	41.961320816451 	41.9613 	1.06524 	0.0253862 	4 	0.0625 	
FW Iteration 	21 	0.045 	42.984023958669432 	0.269989 	42.010443165317341 	42.0104 	0.973581 	0.0231747 	3 	0.125 	
FW Iteration 	22 	0.045 	42.913907945523455 	0.431389 	41.358320541633027 	42.0104 	1.55559 	0.0215057 	5 	0.03125 	
FW Iteration 	23 	0.045 	42.884268557193003 	0.23151 	42.049445082783279 	42.0494 	0.834823 	0.0198534 	4 	0.0625 	
FW Iteration 	24 	0.046 	42.853940017208423 	0.253934 	41.938255651551572 	42.0494 	0.915684 	0.0191321 	4 	0.0625 	
FW Iteration 	25 	0.046 	42.821666628897532 	0.235264 	41.973305169780843 	42.0494 	0.848361 	0.0183646 	4 	0.0625 	
FW Iteration 	26 	0.046 	42.789180595362716 	0.208252 	42.038224192084854 	42.0494 	0.750956 	0.017592 	4 	0.0625 	
FW Iteration 	27 	0.046 	42.762990698905242 	0.215054 	41.987504488168319 	42.0494 	0.775486 	0.0169692 	4 	0.0625 	
FW Iteration 	28 	0.046 	42.736626987785819 	0.209512 	41.981126977842116 	42.0494 	0.7555 	0.0163422 	4 	0.0625 	
FW Iteration 	29 	0.046 	42.70650648639625 	0.193398 	42.009112856426121 	42.0494 	0.697394 	0.0156259 	4 	0.0625 	
FW Iteration 	30 	0.046 	42.68374254150747 	0.184593 	42.018098484456374 	42.0494 	0.665644 	0.0150846 	5 	0.03125 	
FW Iteration 	31 	0.047 	42.668762268056021 	0.148914 	42.131777451538888 	42.1318 	0.536985 	0.0127454 	5 	0.03125 	
FW Iteration 	32 	0.047 	42.657108684368048 	0.150218 	42.115422789879915 	42.1318 	0.541686 	0.0124688 	5 	0.03125 	
FW Iteration 	33 	0.047 	42.645344204391193 	0.140557 	42.138497296687603 	42.1385 	0.506847 	0.0120281 	5 	0.03125 	
FW Iteration 	34 	0.047 	42.634931740030851 	0.140254 	42.12917563019645 	42.1385 	0.505756 	0.011781 	5 	0.03125 	
FW Iteration 	35 	0.047 	42.624346026754516 	0.136343 	42.132692866219074 	42.1385 	0.491653 	0.0115298 	5 	0.03125 	
FW Iteration 	36 	0.047 	42.613483730493321 	0.12616 	42.158549819398708 	42.1585 	0.454934 	0.010791 	5 	0.03125 	
FW Iteration 	37 	0.047 	42.604292961212266 	0.129677 	42.136678950966143 	42.1585 	0.467614 	0.010573 	6 	0.015625 	
FW Iteration 	38 	0.048 	42.598912805988959 	0.106143 	42.216161299034752 	42.2162 	0.382752 	0.00906647 	5 	0.03125 	
FW Iteration 	39 	0.048 	42.590643436757382 	0.122665 	42.148315241037238 	42.2162 	0.442328 	0.00887059 	6 	0.015625 	
FW Iteration 	40 	0.048 	42.585539707724244 	0.100137 	42.224444428401924 	42.2244 	0.361095 	0.00855181 	5 	0.03125 	
FW Iteration 	41 	0.048 	42.577462878672996 	0.118767 	42.149188647241942 	42.2244 	0.428274 	0.00836052 	6 	0.015625 	
FW Iteration 	42 	0.048 	42.572748607246076 	0.100661 	42.209763428490817 	42.2244 	0.362985 	0.00824888 	5 	0.03125 	
FW Iteration 	43 	0.048 	42.564975804577742 	0.109344 	42.170682983789362 	42.2244 	0.394293 	0.00806479 	6 	0.015625 	
FW Iteration 	44 	0.048 	42.5605779553091 	0.096752 	42.211690204306066 	42.2244 	0.348888 	0.00796064 	5 	0.03125 	
FW Iteration 	45 	0.049 	42.553224406409832 	0.105449 	42.172974378279768 	42.2244 	0.38025 	0.00778648 	6 	0.015625 	
FW Iteration 	46 	0.049 	42.549557435947612 	0.0943091 	42.209478915119519 	42.2244 	0.340079 	0.00769964 	5 	0.03125 	
FW Iteration 	47 	0.049 	42.542522806250716 	0.115655 	42.125470390360285 	42.2244 	0.417052 	0.00753304 	6 	0.015625 	
FW Iteration 	48 	0.049 	42.538510809047956 	0.0889247 	42.21784819323566 	42.2244 	0.320663 	0.00743802 	4 	0.0625 	
FW Iteration 	49 	0.049 	42.526614514237295 	0.159554 	41.951263120740848 	42.2244 	0.575351 	0.00715628 	6 	0.015625 	
FW Iteration 	50 	0.049 	42.520406218684855 	0.0820505 	42.224532084731287 	42.2245 	0.295874 	0.00700716 	5 	0.03125 	
End run 		0.051 	
Ended: Fri Jul 13 16:30:43 2018 

